filename,order,age,gender,anger,comtempt,disgust,fear,happiness,neutral,sadness,surprise,Lat,Lon,‰æ‘œƒTƒCƒY,35mmŠ·ŽZ,—j“ú,“ú•t,ŽžŠÔ‘Ñ,happy_tf,male_tf,distance,—j“ú_tf
DSC08998-20191130,2,21,male,0,0,0,0,0,0.998,0.002,0,35.66106027,139.697883,130,36,“y,2019/11/30,2,0,1,7.508,1
DSC08998-20191130,3,29,male,0.001,0.001,0.005,0.001,0.055,0.797,0.135,0.005,35.66106027,139.697883,128,36,“y,2019/11/30,2,0,1,7.625,1
DSC08998-20191130,4,22,male,0,0,0,0,0,1,0,0,35.66106027,139.697883,99,36,“y,2019/11/30,2,0,1,9.848,1
DSC08999-20191130,1,21,male,0,0,0,0,0,0.998,0.002,0,35.66109639,139.6977286,110,36,“y,2019/11/30,2,0,1,8.867,1
DSC08999-20191130,2,24,male,0,0,0,0,0.998,0.002,0,0,35.66109639,139.6977286,97,36,“y,2019/11/30,2,1,1,10.05,1
DSC08999-20191130,3,21,male,0,0,0,0,0,0.996,0,0.003,35.66109639,139.6977286,90,36,“y,2019/11/30,2,0,1,10.829,1
DSC09001-20191130,1,41,male,0.001,0.073,0,0,0,0.91,0.016,0,35.66132028,139.6973022,102,36,“y,2019/11/30,2,0,1,9.56,1
DSC09001-20191130,3,37,male,0,0.011,0,0,0.014,0.973,0.001,0,35.66132028,139.6973022,89,36,“y,2019/11/30,2,0,1,10.951,1
DSC09001-20191130,4,22,male,0,0,0,0,0,1,0,0,35.66132028,139.6973022,82,36,“y,2019/11/30,2,0,1,11.882,1
DSC09001-20191130,6,24,male,0,0,0,0,0.996,0.004,0,0,35.66132028,139.6973022,46,36,“y,2019/11/30,2,1,1,21.153,1
DSC09001-20191130,7,23,male,0.006,0,0,0,0.936,0.056,0.002,0,35.66132028,139.6973022,41,36,“y,2019/11/30,2,1,1,23.729,1
DSC09002-20191130,1,35,male,0,0.001,0,0,0.028,0.964,0.007,0,35.66127663,139.6970393,312,36,“y,2019/11/30,2,0,1,3.149,1
DSC09002-20191130,3,26,male,0.002,0.002,0,0,0.028,0.957,0.003,0.008,35.66127663,139.6970393,159,36,“y,2019/11/30,2,0,1,6.145,1
DSC09002-20191130,4,24,male,0,0,0,0,0.002,0.996,0.002,0,35.66127663,139.6970393,143,36,“y,2019/11/30,2,0,1,6.829,1
DSC09002-20191130,6,25,male,0,0,0,0,0,0.999,0,0.001,35.66127663,139.6970393,121,36,“y,2019/11/30,2,0,1,8.064,1
DSC09003-20191130,2,34,male,0,0,0,0,0,0.996,0,0.004,35.66124861,139.696955,92,36,“y,2019/11/30,2,0,1,10.595,1
DSC09003-20191130,4,23,male,0,0,0,0,0,1,0,0,35.66124861,139.696955,66,36,“y,2019/11/30,2,0,1,14.754,1
DSC09005-20191130,2,23,male,0,0,0,0,1,0,0,0,35.66094,139.6972694,75,36,“y,2019/11/30,2,1,1,12.988,1
DSC09005-20191130,4,6,male,0,0,0,0,0,0.998,0,0.001,35.66094,139.6972694,40,36,“y,2019/11/30,2,0,1,24.321,1
DSC09006-20191130,4,24,male,0,0,0,0,0,1,0,0,35.66085389,139.6974808,45,36,“y,2019/11/30,2,0,1,21.623,1
DSC09006-20191130,5,23,male,0.001,0,0,0,0.129,0.86,0,0.01,35.66085389,139.6974808,38,36,“y,2019/11/30,2,0,1,25.599,1
DSC09007-20191130,4,35,male,0,0,0,0,0,0.991,0.009,0,35.66072308,139.6978364,88,36,“y,2019/11/30,2,0,1,11.075,1
DSC09007-20191130,5,18,male,0,0,0,0,0,0.981,0,0.018,35.66072308,139.6978364,77,36,“y,2019/11/30,2,0,1,12.652,1
