filename,order,age,gender,anger,comtempt,disgust,fear,happiness,neutral,sadness,surprise,Lat,Lon,âÊëúÉTÉCÉY,35mmä∑éZ,ójì˙,ì˙ït,éûä‘ë—,male_tf,happy_tf,distance,èÍèä
DSD06718-1221,5,25,female,0,0,0,0,0,0.999,0.001,0,35.73663815,139.7335317,63,35,ìy,2019/12/21,2,0,0,14.27574074,4
DSD06719-1221,1,28,female,0,0.001,0,0,0,0.484,0.515,0,35.736933,139.7331321,120,35,ìy,2019/12/21,2,0,0,7.511388889,4
DSD06719-1221,2,22,female,0,0,0,0,0.004,0.995,0.001,0,35.736933,139.7331321,52,35,ìy,2019/12/21,2,0,0,17.28820513,4
DSD06720-1221,1,44,female,0,0,0,0,0,0.994,0.006,0,35.73713204,139.7328505,207,35,ìy,2019/12/21,2,0,0,4.369138486,4
DSD06720-1221,2,18,female,0,0,0,0,0.001,0.891,0.106,0.001,35.73713204,139.7328505,192,35,ìy,2019/12/21,2,0,0,4.707743056,4
DSD06720-1221,3,53,male,0,0,0,0,0,0.737,0.263,0,35.73713204,139.7328505,141,35,ìy,2019/12/21,2,1,0,6.732990544,4
DSD06720-1221,4,27,male,0,0,0,0,0,1,0,0,35.73713204,139.7328505,39,35,ìy,2019/12/21,2,1,0,24.25081197,4
DSD06721-1221,1,28,male,0,0,0,0,0,0.999,0,0,35.73726451,139.7326358,79,35,ìy,2019/12/21,2,1,0,11.98964135,4
DSD06721-1221,2,22,female,0,0,0,0,0.003,0.996,0,0,35.73726451,139.7326358,65,35,ìy,2019/12/21,2,0,0,13.8375641,4
DSD06722-1221,1,22,male,0,0.001,0,0,0,0.998,0.001,0,35.7373721,139.7324848,82,35,ìy,2019/12/21,2,1,0,11.55227642,4
DSD06723-1221,1,30,male,0,0,0,0,0,0.999,0.001,0,35.73751443,139.7322498,148,35,ìy,2019/12/21,2,1,0,6.416193694,4
DSD06726-1221,1,39,female,0,0,0,0,0,0.999,0,0,35.73805852,139.7314946,49,35,ìy,2019/12/21,2,0,0,18.34452381,4
DSD06726-1221,2,60,male,0,0,0,0,0,0.99,0.01,0,35.73805852,139.7314946,44,35,ìy,2019/12/21,2,1,0,21.49901515,4
DSD06727-1221,1,27,female,0,0,0,0,0,0.987,0.006,0.007,35.73820765,139.7313022,78,35,ìy,2019/12/21,2,0,0,11.53713675,4
DSD06729-1221,1,49,male,0,0,0,0,0.006,0.971,0.022,0,35.73848528,139.7310214,143,35,ìy,2019/12/21,2,1,0,6.639312354,4
DSD06730-1221,1,50,male,0,0,0,0,0,0.996,0.004,0,35.738585,139.7309356,77,35,ìy,2019/12/21,2,1,0,12.30015152,4
DSD06731-1221,1,16,male,0,0,0,0,0,0.992,0.008,0,35.73887167,139.7305858,95,35,ìy,2019/12/21,2,1,0,9.97622807,4
DSD06731-1221,2,38,female,0,0,0,0,0.878,0.006,0.115,0.001,35.73887167,139.7305858,64,35,ìy,2019/12/21,2,0,1,14.05322917,4
DSD06731-1221,3,22,female,0,0.002,0,0,0.274,0.721,0.001,0.001,35.73887167,139.7305858,61,35,ìy,2019/12/21,2,0,0,14.74265027,4
DSD06731-1221,4,2,female,0,0,0,0,0.001,0.999,0,0,35.73887167,139.7305858,54,35,ìy,2019/12/21,2,0,0,16.64919753,4
DSD06731-1221,5,6,female,0,0,0,0,0,1,0,0,35.73887167,139.7305858,45,35,ìy,2019/12/21,2,0,0,19.97203704,4
DSD06732-1221,1,28,female,0.012,0.005,0.002,0,0.001,0.964,0.016,0,35.73898605,139.7304593,98,35,ìy,2019/12/21,2,0,0,9.189761905,4
DSD06732-1221,2,57,male,0,0.001,0,0,0.301,0.698,0.001,0,35.73898605,139.7304593,86,35,ìy,2019/12/21,2,1,0,11.01658915,4
DSD06733-1221,1,23,male,0,0,0,0,0,1,0,0,35.73883644,139.7306245,43,35,ìy,2019/12/21,2,1,0,21.99817829,4
DSD06734-1221,1,23,male,0,0,0,0,0,0.995,0.005,0,35.73857126,139.730889,58,35,ìy,2019/12/21,2,1,0,16.31804598,4
DSD06735-1221,1,52,female,0,0.001,0,0,0,0.932,0.067,0,35.73852195,139.7309797,128,35,ìy,2019/12/21,2,0,0,7.044114583,4
DSD06737-1221,1,55,male,0.001,0,0,0.003,0.035,0.077,0.007,0.878,35.73813556,139.7314089,49,35,ìy,2019/12/21,2,1,0,19.30880952,4
DSD06737-1221,2,22,female,0.001,0,0,0,0,0.996,0.003,0,35.73813556,139.7314089,46,35,ìy,2019/12/21,2,0,0,19.53862319,4
DSD06738-1221,1,41,female,0.001,0.003,0,0,0,0.979,0.017,0,35.73795695,139.7316225,38,35,ìy,2019/12/21,2,0,0,23.64464912,4
DSD06738-1221,2,19,female,0,0,0,0,0.002,0.998,0,0,35.73795695,139.7316225,37,35,ìy,2019/12/21,2,0,0,24.28274775,4
DSD06739-1221,1,70,male,0,0,0,0,0,0.904,0.096,0,35.73781361,139.7318136,196,35,ìy,2019/12/21,2,1,0,4.853452381,4
DSD06739-1221,2,27,male,0,0,0,0,0.823,0.176,0,0,35.73781361,139.7318136,103,35,ìy,2019/12/21,2,1,1,9.204093851,4
DSD06739-1221,3,19,female,0,0,0,0,0.854,0.145,0,0,35.73781361,139.7318136,97,35,ìy,2019/12/21,2,0,1,9.284140893,4
DSD06740-1221,1,52,female,0,0,0,0,0,0.85,0.149,0.001,35.73768417,139.7320975,73,35,ìy,2019/12/21,2,0,0,12.32495434,4
DSD06740-1221,2,43,female,0.001,0.001,0,0.007,0.004,0.885,0.012,0.089,35.73768417,139.7320975,71,35,ìy,2019/12/21,2,0,0,12.67115023,4
DSD06740-1221,3,60,female,0,0.001,0,0,0.003,0.976,0.001,0.019,35.73768417,139.7320975,44,35,ìy,2019/12/21,2,0,0,20.42515152,4
DSD06741-1221,1,23,male,0,0,0,0,0,0.931,0,0.069,35.73748967,139.7323093,38,35,ìy,2019/12/21,2,1,0,24.88807018,4
DSD06744-1221,1,36,male,0,0,0,0,0,0.99,0.009,0.001,35.73705806,139.7329567,67,35,ìy,2019/12/21,2,1,0,14.13077114,4
DSD06744-1221,2,40,male,0,0,0,0,0.001,0.997,0.002,0,35.73705806,139.7329567,62,35,ìy,2019/12/21,2,1,0,15.26752688,4
DSD06744-1221,3,27,female,0,0,0,0,0,0.999,0.001,0,35.73705806,139.7329567,56,35,ìy,2019/12/21,2,0,0,16.05583333,4
DSD06744-1221,4,7,male,0,0,0,0,0,0.987,0.012,0,35.73705806,139.7329567,56,35,ìy,2019/12/21,2,1,0,16.89958333,4
DSD06744-1221,5,6,male,0,0,0,0.012,0.003,0.007,0.048,0.93,35.73705806,139.7329567,51,35,ìy,2019/12/21,2,1,0,18.55297386,4
DSD06744-1221,6,0,female,0,0,0,0,0,0.998,0.002,0,35.73705806,139.7329567,42,35,ìy,2019/12/21,2,0,0,21.39611111,4
DSD06745-1221,1,65,male,0,0,0,0,0.001,0.812,0.014,0.173,35.73681351,139.7332474,54,35,ìy,2019/12/21,2,1,0,17.52419753,4
DSD06746-1221,1,23,female,0,0,0,0,0.426,0.572,0.001,0,35.73665972,139.7334803,53,35,ìy,2019/12/21,2,0,0,16.96267296,4
DSD06746-1221,2,22,female,0,0,0,0,0.981,0.019,0,0,35.73665972,139.7334803,46,35,ìy,2019/12/21,2,0,1,19.53862319,4
DSD06747-1221,1,62,female,0,0.01,0,0,0.011,0.974,0.004,0.002,35.73648528,139.7337531,131,35,ìy,2019/12/21,2,0,0,6.883600509,4
DSD06747-1221,2,19,female,0,0,0,0,0,0.988,0.011,0,35.73648528,139.7337531,79,35,ìy,2019/12/21,2,0,0,11.39154008,4
DSD06747-1221,3,22,female,0.002,0.002,0,0,0.001,0.992,0.004,0,35.73648528,139.7337531,78,35,ìy,2019/12/21,2,0,0,11.53713675,4
DSD06748-1221,1,3,female,0,0,0,0,0,0.998,0.001,0.001,35.73638972,139.7339664,73,35,ìy,2019/12/21,2,0,0,12.32495434,4
DSD06748-1221,2,28,female,0,0,0,0,0,0.999,0.001,0,35.73638972,139.7339664,49,35,ìy,2019/12/21,2,0,0,18.34452381,4
DSD06749-1221,1,27,male,0,0.001,0,0,0.205,0.793,0.001,0,35.73617611,139.7341644,370,35,ìy,2019/12/21,2,1,0,2.587477477,4
DSD06749-1221,2,24,female,0,0,0,0,0,1,0,0,35.73617611,139.7341644,174,35,ìy,2019/12/21,2,0,0,5.191130268,4
DSD06749-1221,3,22,male,0,0,0,0,0,0.987,0,0.013,35.73617611,139.7341644,67,35,ìy,2019/12/21,2,1,0,14.13077114,4
DSD06749-1221,4,44,female,0,0,0,0,0,0.999,0,0,35.73617611,139.7341644,40,35,ìy,2019/12/21,2,0,0,22.46416667,4
