filename,order,age,gender,anger,comtempt,disgust,fear,happiness,neutral,sadness,surprise,Lat,Lon,âÊëúÉTÉCÉY,35mmä∑éZ,ójì˙,ì˙ït,éûä‘ë—,male_tf,happy_tf,kao,distance,èÍèä
DSD06641-1221,1,24,female,0.001,0,0,0,0,0.956,0.043,0,35.67149945,139.70356,402,35,ìy,2019/12/21,2,0,0,153.8,2.266757877,2
DSD06641-1221,2,30,male,0,0.008,0,0,0.001,0.988,0.003,0,35.67149945,139.70356,370,35,ìy,2019/12/21,2,1,0,161.9,2.587477477,2
DSD06641-1221,3,19,female,0,0,0,0,0,1,0,0,35.67149945,139.70356,246,35,ìy,2019/12/21,2,0,0,153.8,3.68201897,2
DSD06641-1221,4,19,female,0,0,0,0,0,0.995,0.004,0,35.67149945,139.70356,245,35,ìy,2019/12/21,2,0,0,153.8,3.696904762,2
DSD06641-1221,5,19,female,0.022,0.002,0.008,0.002,0.041,0.682,0.002,0.241,35.67149945,139.70356,232,35,ìy,2019/12/21,2,0,0,153.8,3.902097701,2
DSD06641-1221,6,22,male,0,0,0,0,0,0.996,0.001,0.003,35.67149945,139.70356,155,35,ìy,2019/12/21,2,1,0,161.9,6.128010753,2
DSD06641-1221,8,49,male,0.002,0.041,0,0.001,0.002,0.932,0.02,0.003,35.67149945,139.70356,125,35,ìy,2019/12/21,2,1,0,161.9,7.590333333,2
DSD06642-1221,1,23,female,0,0,0,0,0.068,0.923,0.009,0,35.67146639,139.7036464,553,35,ìy,2019/12/21,2,0,0,153.8,1.657362869,2
DSD06642-1221,2,26,male,0,0,0,0,0,0.984,0.016,0,35.67146639,139.7036464,207,35,ìy,2019/12/21,2,1,0,161.9,4.597399356,2
DSD06642-1221,3,20,male,0,0.001,0,0,0,0.989,0.01,0,35.67146639,139.7036464,158,35,ìy,2019/12/21,2,1,0,161.9,6.012320675,2
DSD06642-1221,4,30,male,0,0,0,0,0,1,0,0,35.67146639,139.7036464,153,35,ìy,2019/12/21,2,1,0,161.9,6.207657952,2
DSD06643-1221,1,22,male,0.001,0,0,0,0,0.986,0.012,0,35.67143997,139.7038449,289,35,ìy,2019/12/21,2,1,0,161.9,3.302877739,2
DSD06643-1221,2,21,male,0.022,0.001,0,0,0,0.966,0.002,0.009,35.67143997,139.7038449,160,35,ìy,2019/12/21,2,1,0,161.9,5.937604167,2
DSD06644-1221,1,14,female,0,0.001,0,0,0.024,0.957,0.018,0,35.6714149,139.7038913,639,35,ìy,2019/12/21,2,0,0,153.8,1.439016693,2
