filename,order,age,gender,anger,comtempt,disgust,fear,happiness,neutral,sadness,surprise,Lat,Lon,âÊëúÉTÉCÉY,35mmä∑éZ,ójì˙,ì˙ït,éûä‘ë—,happy_tf,male_tf,distance,ójì˙_tf,,ä¥èÓ,anger,comtempt,disgust,fear,happiness,neutral,sadness,surprise,,150+,,,,,
A7300013,2,15,female,0.005,0.001,0,0,0,0.977,0.015,0,35.659605,139.6992719,108,34,ì˙,2019/12/8,1,0,0,8.104,1,,,0,0,0,0,0,1,0,0,,226,20,8.85%,,,
A7300013,3,15,female,0.002,0.001,0.003,0.004,0.164,0.641,0.173,0.012,35.659605,139.6992719,96,34,ì˙,2019/12/8,1,0,0,9.112,1,,,0,0,0,0,0,1,0,0,,270,23,8.52%,,,
A7300013,5,26,female,0,0,0,0.002,0,0.979,0.004,0.015,35.659605,139.6992719,64,34,ì˙,2019/12/8,1,0,0,13.652,1,,,0,0,0,0,0,1,0,0,,221,13,5.88%,,,
A7300013,6,18,female,0,0.001,0,0.001,0,0.978,0.001,0.019,35.659605,139.6992719,60,34,ì˙,2019/12/8,1,0,0,14.56,1,,,0,0,0,0,0,1,0,0,,170,11,6.47%,,,
A7300013,8,19,female,0,0,0,0,0,0.998,0.002,0,35.659605,139.6992719,59,34,ì˙,2019/12/8,1,0,0,14.806,1,,,0,0,0,0,0,1,0,0,,111,4,3.60%,,,
A7300013,9,10,female,0,0.001,0,0,0,0.987,0.011,0,35.659605,139.6992719,55,34,ì˙,2019/12/8,1,0,0,15.88,1,,,0,0,0,0,0,1,0,0,,219,14,6.39%,,,
A7300013,12,24,female,0,0,0,0,0,0.998,0.001,0,35.659605,139.6992719,44,34,ì˙,2019/12/8,1,0,0,19.842,1,,,0,0,0,0,0,1,0,0,,179,13,7.26%,,,
A7300014,1,24,female,0.001,0.001,0,0.001,0.009,0.968,0.013,0.006,35.6596174,139.6991021,213,34,ì˙,2019/12/8,1,0,0,4.126,1,,,0,0,0,0,0,1,0,0,,172,9,5.23%,,,
A7300015,1,23,female,0,0,0,0,0,0.882,0.118,0,35.65970042,139.698896,236,34,ì˙,2019/12/8,1,0,0,3.727,1,,,0,0,0,0,0,1,0,0,,146,12,8.22%,,,
A7300015-1221-1,1,31,female,0,0.001,0,0,0.022,0.96,0.015,0.002,35.65902333,139.6998563,76,34,ìy,2019/12/21,1,0,0,11.502,1,,,0,0,0,0,0,1,0,0,,135,5,3.70%,,,
A7300016,3,26,female,0,0,0,0,0,0.997,0.003,0,35.65977706,139.6987097,147,34,ì˙,2019/12/8,1,0,0,5.963,1,,,0,0,0,0,0,1,0,0,,128,6,4.69%,,,
A7300016-1221-1,1,18,female,0.001,0.001,0.001,0.001,0.009,0.955,0.006,0.028,35.65896345,139.6999739,98,34,ìy,2019/12/21,1,0,0,8.927,1,,,0,0,0,0,0,1,0,0,,140,3,2.14%,,,
A7300016-1221-1,4,22,female,0,0,0,0,0,0.983,0.016,0,35.65896345,139.6999739,63,34,ìy,2019/12/21,1,0,0,13.868,1,,,0,0,0,0,0,1,0,0,,120,8,6.67%,,,
A7300017,1,33,female,0.002,0,0,0,0,0.971,0.025,0.002,35.65985136,139.6985165,413,34,ì˙,2019/12/8,1,0,0,2.144,1,,,0,0,0,0,0,1,0,0,,112,5,4.46%,,,
A7300018,3,23,female,0,0,0,0.001,0.006,0.504,0.001,0.488,35.6599684,139.6982791,88,34,ì˙,2019/12/8,1,0,0,9.938,1,,,0,0,0,0,0,1,0,0,,51,1,1.96%,,,
A7300018,4,19,female,0,0,0,0,0,0.991,0.009,0,35.6599684,139.6982791,82,34,ì˙,2019/12/8,1,0,0,10.662,1,,,0,0,0,0,0,1,0,0,,99,4,4.04%,,,
A7300019,3,32,female,0,0,0,0,0.004,0.995,0,0.001,35.66002278,139.698081,43,34,ì˙,2019/12/8,1,0,0,20.302,1,,,0,0,0,0,0,1,0,0,,88,5,5.68%,,,
A7300020,1,40,female,0,0,0,0,0,0.98,0.019,0,35.66012148,139.6978521,46,34,ì˙,2019/12/8,1,0,0,18.98,1,,,0,0,0,0,0,1,0,0,,75,6,8.00%,,,
A7300022,1,28,female,0,0.002,0,0,0.001,0.831,0.166,0,35.66024211,139.6975027,192,34,ì˙,2019/12/8,1,0,0,4.573,1,,,0,0,0,0,0,1,0,0,,71,2,2.82%,,,
A7300022,2,55,female,0,0,0,0,0,0.986,0.008,0.006,35.66024211,139.6975027,154,34,ì˙,2019/12/8,1,0,0,5.693,1,,,0,0,0,0,0,1,0,0,,52,1,1.92%,,,
A7300022,5,18,female,0,0.001,0,0,0.859,0.137,0.002,0.001,35.66024211,139.6975027,68,34,ì˙,2019/12/8,1,1,0,12.851,1,,,0,0,0,0,1,0,0,0,,54,5,9.26%,,,
A7300022-1221-1,1,19,female,0,0,0.001,0,0.804,0.186,0.005,0.004,35.65877525,139.6992487,174,34,ìy,2019/12/21,1,1,0,5.043,1,,,0,0,0,0,1,0,0,0,,60,4,6.67%,,,
A7300022-1221-1,2,19,female,0,0,0,0,1,0,0,0,35.65877525,139.6992487,158,34,ìy,2019/12/21,1,1,0,5.55,1,,,0,0,0,0,1,0,0,0,,,,,,,
A7300023-1221-1,2,19,female,0,0,0,0,1,0,0,0,35.6587266,139.6991483,59,34,ìy,2019/12/21,1,1,0,14.806,1,,,0,0,0,0,1,0,0,0,,,,,,,
A7300025,1,27,female,0,0,0,0,0,0.958,0.038,0.003,35.66035645,139.6970661,165,34,ì˙,2019/12/8,1,0,0,5.316,1,,,0,0,0,0,0,1,0,0,,,,,,,
A7300025,2,13,female,0,0,0,0,0,0.965,0.035,0,35.66035645,139.6970661,164,34,ì˙,2019/12/8,1,0,0,5.348,1,,,0,0,0,0,0,1,0,0,,,,,,,
A7300025-1221-1,2,28,female,0,0,0,0,0,0.905,0.095,0,35.65911819,139.6992994,83,34,ìy,2019/12/21,1,0,0,10.534,1,,,0,0,0,0,0,1,0,0,,,,,,,
A7300025-1221-1,3,14,female,0.005,0.001,0.004,0,0,0.988,0.001,0,35.65911819,139.6992994,81,34,ìy,2019/12/21,1,0,0,10.794,1,,,0,0,0,0,0,1,0,0,,,,,,,
A7300026,1,54,female,0,0,0,0.001,0,0.962,0.028,0.008,35.66032642,139.6971848,186,34,ì˙,2019/12/8,1,0,0,4.72,1,,,0,0,0,0,0,1,0,0,,,,,,,
A7300026,2,61,female,0,0,0,0,0.75,0.249,0,0.001,35.66032642,139.6971848,183,34,ì˙,2019/12/8,1,1,0,4.796,1,,,0,0,0,0,1,0,0,0,,,,,,,
