filename,order,age,gender,anger,comtempt,disgust,fear,happiness,neutral,sadness,surprise,Lat,Lon,‰æ‘œƒTƒCƒY,35mmŠ·ŽZ,—j“ú,“ú•t,ŽžŠÔ‘Ñ,happy_tf,male_tf,distance,—j“ú_tf
DSC_0014,4,23,female,0.001,0.006,0,0,0.001,0.975,0.017,0,35.65979985,139.7037565,87,33,“ú,2019/12/8,2,0,0,9.756,1
DSC_0014,5,14,female,0,0,0,0,0,0.999,0,0,35.65979985,139.7037565,38,33,“ú,2019/12/8,2,0,0,22.294,1
DSC_0015,1,28,female,0,0.063,0,0,0.003,0.912,0.021,0,35.65986777,139.7039976,143,33,“ú,2019/12/8,2,0,0,5.948,1
DSC_0015,2,34,female,0,0.001,0,0,0,0.937,0.062,0,35.65986777,139.7039976,105,33,“ú,2019/12/8,2,0,0,8.089,1
DSC_0015-1213,1,23,female,0,0,0,0,0,0.817,0.183,0,35.65986189,139.7039522,283,33,“ú,2019/12/8,1,0,0,3.022,1
DSC_0015-1411,3,25,female,0,0.002,0,0,0,0.972,0.025,0.001,35.66191704,139.7007453,139,34,“ú,2019/12/8,2,0,0,6.304,1
DSC_0015-1411,6,24,female,0,0,0,0,0,0.965,0.035,0,35.66191704,139.7007453,103,34,“ú,2019/12/8,2,0,0,8.495,1
DSC_0015-1411,7,22,female,0,0.002,0,0,0.126,0.848,0.024,0,35.66191704,139.7007453,80,34,“ú,2019/12/8,2,0,0,10.928,1
DSC_0016,3,11,female,0,0,0,0,0.267,0.721,0.003,0.009,35.65991023,139.7041991,116,33,“ú,2019/12/8,2,0,0,7.325,1
DSC_0016,4,25,female,0,0,0,0,0,0.999,0.001,0,35.65991023,139.7041991,104,33,“ú,2019/12/8,2,0,0,8.167,1
DSC_0016-1213,1,40,female,0.002,0.001,0,0,0.368,0.627,0.001,0.001,35.65990959,139.7042276,43,33,“ú,2019/12/8,1,0,0,19.705,1
DSC_0016-1213,2,34,female,0,0,0,0,1,0,0,0,35.65990959,139.7042276,38,33,“ú,2019/12/8,1,1,0,22.294,1
DSC_0016-1411,2,30,female,0,0,0,0,0.003,0.994,0.002,0,35.66211336,139.7006594,328,34,“ú,2019/12/8,2,0,0,2.691,1
DSC_0016-1411,3,21,female,0,0,0,0,0,0.998,0.002,0,35.66211336,139.7006594,51,34,“ú,2019/12/8,2,0,0,17.123,1
DSC_0016-1411,4,19,female,0,0.002,0,0,0.006,0.98,0.006,0.005,35.66211336,139.7006594,51,34,“ú,2019/12/8,2,0,0,17.123,1
DSC_0016-1411,5,20,female,0,0,0,0,0,0.978,0.022,0,35.66211336,139.7006594,48,34,“ú,2019/12/8,2,0,0,18.191,1
DSC_0017,3,5,female,0,0,0,0,0.511,0.489,0,0,35.65995893,139.7045876,45,33,“ú,2019/12/8,2,1,0,18.831,1
DSC_0017,4,16,female,0,0,0,0,0.003,0.994,0,0.003,35.65995893,139.7045876,38,33,“ú,2019/12/8,2,0,0,22.294,1
DSC_0017-1109,3,38,female,0,0,0,0,0,0.976,0.001,0.022,35.66182156,139.7007537,126,33,“ú,2019/12/8,1,0,0,6.746,1
DSC_0017-1109,4,17,female,0.001,0.001,0,0,0.001,0.991,0.002,0.004,35.66182156,139.7007537,70,33,“ú,2019/12/8,1,0,0,12.117,1
DSC_0017-1109,5,17,female,0,0,0,0,0,0.999,0.001,0,35.66182156,139.7007537,68,33,“ú,2019/12/8,1,0,0,12.473,1
DSC_0017-1412,1,54,female,0,0,0,0,0.002,0.989,0.001,0.008,35.66215443,139.7006106,96,34,“ú,2019/12/8,2,0,0,9.112,1
DSC_0017-1412,2,15,female,0,0,0,0,0,0.999,0.001,0,35.66215443,139.7006106,73,34,“ú,2019/12/8,2,0,0,11.973,1
DSC_0017-1412,3,46,female,0,0,0,0,0.336,0.663,0,0,35.66215443,139.7006106,54,34,“ú,2019/12/8,2,0,0,16.174,1
