filename,order,age,gender,anger,comtempt,disgust,fear,happiness,neutral,sadness,surprise,Lat,Lon,âÊëúÉTÉCÉY,35mmä∑éZ,ójì˙,ì˙ït,éûä‘ë—,ìyì˙_tf,èÍèä
A7300230,2,32,male,0,0,0,0,0,0.986,0.014,0,35.65970222,139.7025433,124,70,ì˙,2019/12/8,1,1,ã{âvç‚
A7300231,2,24,male,0.001,0.001,0,0,0.222,0.772,0.004,0,35.6596925,139.7025483,55,70,ì˙,2019/12/8,1,1,ã{âvç‚
A7300232,2,22,male,0,0,0,0,0,0.991,0.002,0.008,35.65972889,139.7025378,46,70,ì˙,2019/12/8,1,1,ã{âvç‚
A7300233,2,22,male,0,0,0,0,1,0,0,0,35.65976528,139.7024314,86,70,ì˙,2019/12/8,1,1,ã{âvç‚
A7300237,2,23,female,0,0,0,0,0,0.809,0.191,0,35.65949306,139.7025264,106,70,ì˙,2019/12/8,1,1,ã{âvç‚
A7300240,2,45,male,0,0.054,0,0,0,0.934,0.012,0,35.65945806,139.7026058,98,36,ì˙,2019/12/8,1,1,ã{âvç‚
A7300241,2,63,male,0,0.002,0,0,0,0.426,0.573,0,35.65945806,139.7026058,119,36,ì˙,2019/12/8,1,1,ã{âvç‚
A7300242,2,20,male,0.004,0.004,0.005,0.001,0.011,0.8,0.005,0.171,35.65949083,139.7026536,285,35,ì˙,2019/12/8,1,1,ã{âvç‚
A7300243,2,18,female,0,0,0,0,0.001,0.994,0.005,0,35.65952778,139.7026356,71,35,ì˙,2019/12/8,1,1,ã{âvç‚
A7300244,2,18,male,0.001,0,0,0,0,0.947,0.047,0.004,35.65955778,139.7026233,489,35,ì˙,2019/12/8,1,1,ã{âvç‚
A7300246,2,25,male,0.001,0.005,0,0,0,0.99,0.004,0,35.65957861,139.7024608,151,35,ì˙,2019/12/8,1,1,ã{âvç‚
A7300247,2,18,female,0,0,0,0,0.982,0.018,0,0,35.65958472,139.7024064,402,35,ì˙,2019/12/8,1,1,ã{âvç‚
A7300248,2,23,female,0.002,0.013,0.003,0,0.032,0.933,0.016,0,35.65958556,139.7023308,88,35,ì˙,2019/12/8,1,1,ã{âvç‚
A7300250,2,54,male,0,0.055,0,0,0.396,0.546,0.003,0,35.65948945,139.7023661,106,34,ì˙,2019/12/8,1,1,ã{âvç‚
A7300252,2,29,male,0,0,0,0,0.001,0.997,0.001,0.001,35.65942222,139.7022692,93,34,ì˙,2019/12/8,1,1,ã{âvç‚
A7300254,2,32,male,0,0.002,0,0,0.001,0.957,0.04,0,35.65968222,139.7024117,82,40,ì˙,2019/12/8,1,1,ã{âvç‚
A7300255,2,21,male,0,0,0,0,1,0,0,0,35.65964583,139.7025383,307,40,ì˙,2019/12/8,1,1,ã{âvç‚
A7300257,2,28,male,0,0,0,0,0,0.999,0.001,0,35.65962972,139.7027161,203,40,ì˙,2019/12/8,1,1,ã{âvç‚
DSC01538,2,26,male,0,0,0,0,0,0.977,0.001,0.022,35.65933083,139.7021056,79,46,ìy,2019/12/7,2,1,ã{âvç‚
DSC01539,2,22,female,0,0,0,0.001,0,0.986,0.001,0.013,35.65938306,139.7022214,99,105,ìy,2019/12/7,2,1,ã{âvç‚
DSC01540,2,57,male,0,0,0,0,0,0.989,0,0.011,35.65940556,139.7022283,100,105,ìy,2019/12/7,2,1,ã{âvç‚
DSC01541,2,50,female,0,0,0,0,0,0.988,0.011,0,35.65944,139.7023428,139,35,ìy,2019/12/7,2,1,ã{âvç‚
DSC01542,2,17,female,0.001,0,0,0.006,0.001,0.882,0.004,0.106,35.65944195,139.7024094,206,35,ìy,2019/12/7,2,1,ã{âvç‚
DSC01543,2,24,male,0.001,0.002,0.005,0,0.595,0.396,0.001,0,35.65947111,139.7024722,286,35,ìy,2019/12/7,2,1,ã{âvç‚
DSC01545,2,61,male,0,0,0,0,0.916,0.081,0.002,0,35.65948945,139.7025236,94,54,ìy,2019/12/7,2,1,ã{âvç‚
DSC01547,2,23,female,0,0,0,0,0,0.997,0.001,0.001,35.65948972,139.7024911,85,105,ìy,2019/12/7,2,1,ã{âvç‚
DSC01548,2,20,male,0,0,0,0,0,0.998,0.001,0,35.65949889,139.7024764,394,40,ìy,2019/12/7,2,1,ã{âvç‚
DSC01549,2,36,female,0,0.001,0,0,0,0.953,0.046,0,35.65949556,139.7024725,188,36,ìy,2019/12/7,2,1,ã{âvç‚
DSC01550,2,31,female,0,0,0,0,0,0.924,0.075,0,35.65949556,139.7024725,222,36,ìy,2019/12/7,2,1,ã{âvç‚
DSC01551,2,27,male,0,0.001,0,0,0,0.99,0.009,0,35.65950306,139.7024997,218,36,ìy,2019/12/7,2,1,ã{âvç‚
DSC01552,2,29,female,0,0,0,0,0,0.998,0.002,0,35.65957889,139.7024581,97,78,ìy,2019/12/7,2,1,ã{âvç‚
DSC01553,2,24,male,0,0,0,0.002,0,0.972,0.003,0.023,35.65957222,139.7024383,73,105,ìy,2019/12/7,2,1,ã{âvç‚
DSC01554,2,22,female,0,0.001,0,0,0.003,0.98,0.016,0,35.65957306,139.7023675,124,105,ìy,2019/12/7,2,1,ã{âvç‚
DSC01555,2,18,female,0,0,0,0,0,0.999,0.001,0,35.65965417,139.7022722,125,35,ìy,2019/12/7,2,1,ã{âvç‚
DSC01556,2,25,female,0,0,0,0,0.986,0.014,0,0,35.65962667,139.7022419,465,35,ìy,2019/12/7,2,1,ã{âvç‚
DSC01557,2,24,female,0.122,0.005,0.064,0,0.167,0.631,0.01,0.001,35.65957611,139.7022458,238,35,ìy,2019/12/7,2,1,ã{âvç‚
DSC01558,2,45,male,0.001,0.001,0,0,0.001,0.995,0.002,0.001,35.659495,139.7022114,75,40,ìy,2019/12/7,2,1,ã{âvç‚
DSC01559,2,41,male,0.001,0.001,0.001,0,0.061,0.934,0.001,0,35.65951778,139.7023608,84,70,ìy,2019/12/7,2,1,ã{âvç‚
DSC01561,2,18,female,0,0,0,0,0,0.884,0.115,0,35.65950195,139.7023331,222,36,ìy,2019/12/7,2,1,ã{âvç‚
DSC02554,2,59,male,0,0,0,0,0,0.996,0.004,0,35.65942583,139.7020283,72,39,ì˙,2019/12/8,3,1,ã{âvç‚
DSC02555,2,13,female,0,0,0,0.002,0,0.927,0.004,0.067,35.65942445,139.7020414,65,39,ì˙,2019/12/8,3,1,ã{âvç‚
DSC02557,2,8,male,0,0,0,0,0,0.99,0.006,0.004,35.65947195,139.7021653,92,105,ì˙,2019/12/8,3,1,ã{âvç‚
DSC02558,2,43,male,0.001,0.001,0,0,0,0.991,0.007,0,35.659505,139.7021236,309,55,ì˙,2019/12/8,3,1,ã{âvç‚
DSC02560,2,26,female,0,0,0,0,0,0.987,0.001,0.012,35.65956333,139.7021744,74,105,ì˙,2019/12/8,3,1,ã{âvç‚
DSC02562,2,24,female,0,0,0,0,0.171,0.828,0.001,0,35.65956889,139.7022017,97,105,ì˙,2019/12/8,3,1,ã{âvç‚
DSC02563,2,20,female,0,0,0,0,0,0.999,0,0,35.65950611,139.7021767,94,105,ì˙,2019/12/8,3,1,ã{âvç‚
DSC02564,2,28,male,0.015,0.001,0.003,0,0.161,0.818,0.002,0.001,35.65947028,139.7021539,78,105,ì˙,2019/12/8,3,1,ã{âvç‚
DSC02565,2,23,female,0,0,0,0,0.036,0.962,0.001,0,35.65949611,139.7022667,89,66,ì˙,2019/12/8,3,1,ã{âvç‚
DSC02566,2,23,female,0,0,0,0,0,0.989,0.001,0.01,35.65952417,139.7024142,198,35,ì˙,2019/12/8,3,1,ã{âvç‚
DSC02567,2,39,female,0,0.003,0.001,0,0.169,0.822,0.003,0.001,35.65952889,139.7024717,260,35,ì˙,2019/12/8,3,1,ã{âvç‚
DSC02568,2,32,male,0,0,0,0,0,0.997,0.002,0.001,35.65947417,139.7023469,67,105,ì˙,2019/12/8,3,1,ã{âvç‚
